Subject,Catalog Nbr,Descr,Class Section,Meeting Time/Days,Meeting Dates,Room,Instructors
CS,111,Introduction to Programming,1,04:30 pm-05:45 pm MoWe,08/26/2019 - 12/13/2019,240,"Wadsworth,Nicholas"
CS,111,Introduction to Programming,2,01:30 pm-02:45 pm TuTh,08/26/2019 - 12/13/2019,240,"Lynott,Mike"
CS,117,C++ for Engineers,1,07:30 am-08:45 am WeFr,08/26/2019 - 12/13/2019,240,"Thompson,D"
CS,117,C++ for Engineers,2,07:30 am-08:45 am TuTh,08/26/2019 - 12/13/2019,240,"Thompson,D"
CS,121,Computer Science I,4,05:30 pm-07:15 pm TuTh,08/26/2019 - 12/13/2019,242,"Sherman,Elena, Wenner,Julianne A"
CS,121,Computer Science I,6,08:30 am-10:15 am WeFr,08/26/2019 - 12/13/2019,242,"Andersen,Gregory Thomas"
CS,121,Computer Science I,1,08:30 am-10:15 am TuTh,08/26/2019 - 12/13/2019,242,"Hindman,Lucas S"
CS,121,Computer Science I,2,11:30 am-01:15 pm TuTh,08/26/2019 - 12/13/2019,242,"Vail,Mason"
CS,121,Computer Science I,3,02:00 pm-03:45 pm TuTh,08/26/2019 - 12/13/2019,242,"Hindman,Lucas S"
CS,121,Computer Science I,5,11:30 am-01:15 pm WeFr,08/26/2019 - 12/13/2019,242,"Fails,Jerry Alan"
CS,133,Foundations of Data Science,1,06:00 pm-07:15 pm TuTh,08/26/2019 - 12/13/2019,260,"Bosch-Wilson,Katie"
CS,221,Computer Science II,1,12:00 pm-01:15 pm MoWe,08/26/2019 - 12/13/2019,243,"Vail,Mason"
CS,221,Computer Science II,2,09:00 am-10:15 am TuTh,08/26/2019 - 12/13/2019,243,"Vail,Mason"
CS,221,Computer Science II,3,04:30 pm-05:45 pm TuTh,08/26/2019 - 12/13/2019,243,"Thomas,Matthew H"
CS,230,Ethical Issues in Computing,1,03:00 pm-04:15 pm TuTh,08/26/2019 - 12/13/2019,221,"Conrad,Jim"
CS,253,Intro to Systems Programming,2,09:00 am-10:15 am TuTh,08/26/2019 - 12/13/2019,240,"Conrad,Jim"
CS,253,Intro to Systems Programming,1,12:00 pm-01:15 pm TuTh,08/26/2019 - 12/13/2019,243,"Conrad,Jim"
CS,321,Data Structures,1,12:00 pm-01:15 pm TuTh,08/26/2019 - 12/13/2019,260,"Thomas,Matthew H"
CS,321,Data Structures,2,04:30 pm-05:45 pm MoWe,08/26/2019 - 12/13/2019,243,"Yeh,Jyh-haw"
CS,321,Data Structures,3,01:30 pm-02:45 pm MoWe,08/26/2019 - 12/13/2019,243,"Andersen,Timothy"
CS,330,Intro to Sec in Cyber-Phys Sys,1,09:00 am-10:15 am WeFr,08/26/2019 - 12/13/2019,ECE,"Loo,Sin Ming"
CS,331,Computer Security & Info Assur,1,06:00 pm-08:45 pm Mo,08/26/2019 - 12/13/2019,260,"Skinner,Vince"
CS,333,Network Security and Defense,1,04:30 pm-05:45 pm MoWe,08/26/2019 - 12/13/2019,NA,"Xiao,Jidong"
CS,354,Programming Languages,1,04:30 pm-05:45 pm MoWe,08/26/2019 - 12/13/2019,260,"Buffenbarger,James R"
CS,354,Programming Languages,2,12:00 pm-01:15 pm MoWe,08/26/2019 - 12/13/2019,NA,"Buffenbarger,James R"
CS,361,Intro to Theory of Computation,1,10:30 am-11:45 am TuTh,08/26/2019 - 12/13/2019,240,"Pera,Sole"
CS,401,Intro to Web Development,1,06:00 pm-07:15 pm MoWe,08/26/2019 - 12/13/2019,240,"Kennington,Conrad"
CS,402,Mobile Application Development,1,06:00 pm-07:15 pm TuTh,08/26/2019 - 12/13/2019,243,"Ziray,Michael"
CS,410,Databases,1,12:00 pm-01:15 pm TuTh,08/26/2019 - 12/13/2019,221,"Ekstrand,Michael D."
CS,421,Algorithms,1,12:00 pm-01:15 pm MoWe,08/26/2019 - 12/13/2019,260,"Thomas,Matthew H"
CS,421,Algorithms,2,10:30 am-11:45 am TuTh,08/26/2019 - 12/13/2019,NA,"Serra,Edoardo"
CS,425,Introduction To Computer Networks,1,,,CCP,"Hou, Yantian"
CS,430,Parallel Computing,1,10:30 am-11:45 am TuTh,08/26/2019 - 12/13/2019,NA,"Olschanowsky,Cathie"
CS,441,Computer Architecture,1,03:00 pm-04:15 pm MoWe,08/26/2019 - 12/13/2019,Ruch 103,"Smith,Jennifer A."
CS,453,Operating Systems,1,12:00 pm-01:15 pm TuTh,08/26/2019 - 12/13/2019,240,"Jain,Amit"
CS,453,Operating Systems,2,03:00 pm-04:15 pm WeFr,08/26/2019 - 12/13/2019,243,"Panter,Shane Kay"
CS,457,Introduction To Artificial Intelligence,3,,,,
CS,464,Computer Graphics,3,,,,
CS,471,Software Engineering,2,01:30 pm-02:45 pm MoWe,08/26/2019 - 12/13/2019,221,"Dit,Bogdan"
CS,471,Software Engineering,3,10:30 am-11:45 am WeFr,08/26/2019 - 12/13/2019,259,"Dit,Bogdan"
CS,481,Senior Design Project,1,09:00 am-10:15 am WeFr,08/26/2019 - 12/13/2019,259,"Panter,Shane Kay"
CS,488,Senior Outcome Assessment,1,01:30 pm-02:45 pm Fr,08/26/2019 - 12/13/2019,221,"Vail,Mason"
CS,503,Teaching & Learning CS I,1,05:30 pm-07:15 pm TuTh,08/26/2019 - 12/13/2019,242,"Sherman,Elena, Wenner,Julianne A"
CS,507,Computing Foundations for Comp,1,12:00 pm-01:15 pm MoWe,08/26/2019 - 12/13/2019,368,"Long,Min"
CS,510,Databases,1,12:00 pm-01:15 pm TuTh,08/26/2019 - 12/13/2019,221,"Ekstrand,Michael D."
CS,516,Intro to Web Development,1,06:00 pm-07:15 pm MoWe,08/26/2019 - 12/13/2019,240,"Kennington,Conrad"
CS,517,Mobile App Development,1,06:00 pm-07:15 pm TuTh,08/26/2019 - 12/13/2019,243,"Ziray,Michael"
CS,533,Introduction to Data Science,1,12:00 pm-01:15 pm MoWe,08/26/2019 - 12/13/2019,259,"Kennington,Casey Redd"
CS,539,Social Media Mining,1,04:30 pm-05:45 pm MoWe,08/26/2019 - 12/13/2019,259,"Spezzano,Francesca"
